id,organizationId,operatingUnitId,grantId,code,projectCode,title,titleEn,titleAr,description,descriptionAr,objectives,objectivesAr,status,startDate,endDate,totalBudget,spent,currency,physicalProgressPercentage,sectors,donor,implementingPartner,location,locationAr,beneficiaryCount,projectManager,managerId,isDeleted,deletedAt,deletedBy,createdAt,updatedAt,createdBy,updatedBy
1,30001,30001,,UEFA-FOUND-001,UEFA-FOUND-001,Test Case Management Project Updated,Promoting Inclusion and Social Change through Sports,تعزيز الشمول والتغيير الاجتماعي من خلال الرياضة,Community sports program focused on youth development and social integration,برنامج رياضي مجتمعي يركز على تنمية الشباب والاندماج الاجتماعي,,,active,2025-01-01 00:00:00,2026-06-30 00:00:00,77634.00,0.00,EUR,0.00,"[""Child Protection"", ""Education in Emergency""]",UEFA Foundation,YDH,Yemen,اليمن,,,,1,2026-02-04 23:21:23,1080332,2026-01-28 02:55:01,2026-02-04 23:21:23,1,1
2,30001,30001,,WASH-2026-002,WASH-2026-002,Water & Sanitation - Phase 2,Water & Sanitation - Phase 2,المياه والصرف الصحي - المرحلة 2,Community water access and sanitation facilities,الوصول إلى المياه المجتمعية ومرافق الصرف الصحي,,,active,2025-05-31 00:00:00,2027-12-30 00:00:00,1200000.00,0.00,USD,0.00,"[""WASH"", ""Health""]",UNICEF,YDH,"Taiz, Yemen",تعز، اليمن,,,,0,,,2026-01-28 02:55:01,2026-02-06 22:51:35,1,
4,30001,30001,,HEALTH-MOBILE-004,HEALTH-MOBILE-004,Mobile Health Clinics,Mobile Health Clinics,العيادات الصحية المتنقلة,Primary healthcare delivery in remote areas,تقديم الرعاية الصحية الأولية في المناطق النائية,,,active,2026-01-14 00:00:00,2027-12-30 00:00:00,620000.00,0.00,USD,0.00,"[""Health"", ""Nutrition""]",WHO,YDH,"Hodeidah, Yemen",الحديدة، اليمن,,,,0,,,2026-01-28 02:55:01,2026-02-06 22:51:35,1,
5,30001,30001,,LIVELIHOOD-005,LIVELIHOOD-005,Livelihood Recovery Program,Livelihood Recovery Program,برنامج استعادة سبل العيش,Economic empowerment and skills training,التمكين الاقتصادي والتدريب على المهارات,,,active,2026-03-29 00:00:00,2028-03-28 00:00:00,950000.00,0.00,USD,0.00,"[""Economic Recovery"", ""Food Security""]",UNDP,YDH,Multiple Governorates,محافظات متعددة,,,,0,,,2026-01-28 02:55:01,2026-02-06 22:51:35,1,1080332
30009,30001,30001,,JOR-TEST-001,JOR-TEST-001,Jordan Test Project,Jordan Test Project,مشروع اختبار الأردن,Test project for Jordan Office,مشروع اختبار لمكتب الأردن,,,active,2024-01-01 00:00:00,2024-12-31 00:00:00,50000.00,0.00,USD,0.00,"[""Education""]",,,,,,,,0,,,2026-01-30 00:16:25,2026-02-06 22:51:35,1,1080383
60002,30001,30001,,TEST-USD-2026,TEST-USD-2026,Currency Test Project (USD),Currency Test Project (USD),,,,,,planning,2026-01-01 00:00:00,2026-12-31 00:00:00,100000.00,0.00,USD,0.00,"[""Child Protection""]",,,,,,,,1,2026-02-04 23:21:02,1080332,2026-01-31 12:44:14,2026-02-04 23:21:01,1,1
90001,30001,30001,,TEST-INDICATORS-001,TEST-INDICATORS-001,Indicators Test Project,Indicators Test Project,,,,,,planning,2024-12-31 00:00:00,2025-12-30 00:00:00,100000.00,0.00,USD,0.00,"[""WASH""]",,,,,,,,1,2026-02-04 23:20:58,1080332,2026-01-31 15:10:24,2026-02-04 23:20:58,1,1
90002,30001,30001,,TEST-IND-001,TEST-IND-001,Indicators Test Project,Indicators Test Project,,,,,,active,2025-01-01 00:00:00,2025-12-31 00:00:00,100000.00,0.00,USD,0.00,"[""Education""]",,,,,,,,1,2026-02-04 23:21:16,1080332,2026-01-31 15:11:50,2026-02-04 23:21:15,1,1080332
120005,30001,30001,,TEST-ACT-001,TEST-ACT-001,Activity Test Project,Activity Test Project,,,,,,active,2025-12-31 00:00:00,2026-12-30 00:00:00,100000.00,0.00,USD,0.00,"[""WASH"", ""Child Protection""]",,,,,,,,1,2026-02-04 23:21:12,1080332,2026-01-31 16:05:25,2026-02-04 23:21:12,1,1080332
150001,30001,30001,,TEST-2026-001,TEST-2026-001,Test Project for Tasks and Beneficiaries,Test Project for Tasks and Beneficiaries,,,,,,active,2025-12-31 00:00:00,2026-12-30 00:00:00,100000.00,0.00,USD,0.00,"[""Shelter""]",,,,,,,,1,2026-02-04 23:21:30,1080332,2026-01-31 18:30:43,2026-02-04 23:21:30,1,1080332
