id,bidAnalysisId,criteriaType,name,nameAr,description,maxScore,weight,sortOrder,createdAt,updatedAt,sectionNumber,sectionName,sectionNameAr,stage,stageAr,isScreening,isApplicable
1,1,technical,Valid company registration (Commercial Register),تسجيل شركة ساري (السجل التجاري),,2.00,1.00,1,2026-02-07 12:46:28,2026-02-07 12:46:28,1,Legal and Administrative,القانونية والإدارية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
2,1,technical,Tax Card,البطاقة الضريبية,,2.00,1.00,2,2026-02-07 12:46:28,2026-02-07 12:46:28,1,Legal and Administrative,القانونية والإدارية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
3,1,technical,Insurance Card,بطاقة التأمين,,1.00,1.00,3,2026-02-07 12:46:28,2026-02-07 12:46:28,1,Legal and Administrative,القانونية والإدارية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
4,1,technical,Zakat Card (If applicable),بطاقة الزكاة (إن وجدت),,1.00,1.00,4,2026-02-07 12:46:28,2026-02-07 12:46:28,1,Legal and Administrative,القانونية والإدارية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
5,1,technical,"Signed declarations (no debarment, anti-corruption, conflict of interest)",إقرارات موقعة (عدم الحرمان، مكافحة الفساد، تضارب المصالح),,2.00,1.00,5,2026-02-07 12:46:28,2026-02-07 12:46:28,1,Legal and Administrative,القانونية والإدارية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
6,1,technical,Screening against terrorism/sanctions lists,الفحص ضد قوائم الإرهاب/العقوبات,,2.00,1.00,6,2026-02-07 12:46:28,2026-02-07 12:46:28,1,Legal and Administrative,القانونية والإدارية,Mandatory before award,إلزامي قبل الترسية,1,1
7,1,technical,"Bidder/Company profile document, recent annual report",وثيقة ملف الشركة/مقدم العطاء، التقرير السنوي الأخير,,3.00,1.00,1,2026-02-07 12:46:28,2026-02-07 12:46:28,2,Experience & Technical Capacity,الخبرة والقدرة الفنية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
8,1,technical,"Experience in construction/rehabilitation (Copies of past contracts, completion certificates)",خبرة في البناء/إعادة التأهيل (نسخ من العقود السابقة، شهادات الإنجاز),,5.00,1.00,2,2026-02-07 12:46:28,2026-02-07 12:46:28,2,Experience & Technical Capacity,الخبرة والقدرة الفنية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
9,1,technical,Experience with INGOs in delivery of infrastructure projects,خبرة مع المنظمات الدولية في تنفيذ مشاريع البنية التحتية,,4.00,1.00,3,2026-02-07 12:46:28,2026-02-07 12:46:28,2,Experience & Technical Capacity,الخبرة والقدرة الفنية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
10,1,technical,Evidence of qualified technical staff (CVs of engineers/technical staff),دليل على وجود كوادر فنية مؤهلة (سير ذاتية للمهندسين/الفنيين),,3.00,1.00,4,2026-02-07 12:46:28,2026-02-07 12:46:28,2,Experience & Technical Capacity,الخبرة والقدرة الفنية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
11,1,technical,Work & Safety Plan (detailed operational plans including safety and environmental plan),خطة العمل والسلامة (خطط تشغيلية مفصلة تشمل خطة السلامة والبيئة),,7.00,1.00,1,2026-02-07 12:46:28,2026-02-07 12:46:28,3,Operational & Financial Capacity,القدرة التشغيلية والمالية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
12,1,technical,"Presence in the target geography (Registration document, Proof of office/equipment)",التواجد في المنطقة الجغرافية المستهدفة (وثيقة التسجيل، إثبات المكتب/المعدات),,5.00,1.00,2,2026-02-07 12:46:28,2026-02-07 12:46:28,3,Operational & Financial Capacity,القدرة التشغيلية والمالية,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
13,1,technical,Bank Guarantee (Original guarantee letter from bank),ضمان بنكي (خطاب ضمان أصلي من البنك),,15.00,1.00,3,2026-02-07 12:46:28,2026-02-07 12:46:28,3,Operational & Financial Capacity,القدرة التشغيلية والمالية,Mandatory before contract signature,إلزامي قبل توقيع العقد,0,1
14,1,technical,"Bank account details (Bank confirmation letter, audited accounts or statement)",تفاصيل الحساب البنكي (خطاب تأكيد من البنك، حسابات مدققة أو كشف حساب),,15.00,1.00,4,2026-02-07 12:46:28,2026-02-07 12:46:28,3,Operational & Financial Capacity,القدرة التشغيلية والمالية,"Verification process, mandatory before award",عملية التحقق، إلزامية قبل الترسية,0,1
15,1,technical,Samples (if relevant),العينات (إن وجدت),,0.00,1.00,1,2026-02-07 12:46:28,2026-02-07 12:46:28,4,Samples (if relevant),العينات (إن وجدت),Not applicable for rehabilitation works,غير قابل للتطبيق لأعمال إعادة التأهيل,0,0
16,1,technical,"References from previous contracts or projects (Contact details/letters, ideally from UNINGOs or local NGOs)",مراجع من عقود أو مشاريع سابقة (تفاصيل الاتصال/خطابات، يفضل من المنظمات الدولية أو المحلية),,10.00,1.00,1,2026-02-07 12:46:28,2026-02-07 12:46:28,5,References,المراجع,MUST be Submitted with the Bid,يجب تقديمه مع العطاء,0,1
